"Note that this data is not a direct pull from FHA data sources, but has been altered to preserve patient confidentiality.",,,,,,,
,,,,,,,
FileYear,Hosp_Rollup,MCCDescription,LHAName_Coded,Count of CaseID,Sum of TotalDays,Sum of AcuteLOS,Sum of ALCLOSDays
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Langley,124,1026,1023,3
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Maple Ridge,16,105,105,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Mission,202,1267,1221,46
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,New Westminster,5,48,48,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Outside FH,53,308,300,8
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,South Surrey/White Rock,16,167,167,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Circulatory System,Surrey,35,255,255,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Abbotsford,1281,6995,6642,353
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Agassiz-Harrison,8,21,21,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Burnaby,5,444,363,81
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Chilliwack,81,445,445,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Coquitlam,6,42,42,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Hope,10,43,43,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Langley,120,687,687,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Maple Ridge,11,79,79,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Mission,188,1016,1016,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Outside FH,38,200,174,26
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,South Surrey/White Rock,11,42,42,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Digestive System,Surrey,12,72,72,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Abbotsford,282,1435,1331,104
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Agassiz-Harrison,5,33,33,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Burnaby,6,11,11,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Chilliwack,39,378,337,41
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Coquitlam,6,57,57,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Hope,27,356,164,192
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Langley,20,364,286,78
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Maple Ridge,13,60,60,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Mission,45,158,158,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Outside FH,13,117,93,24
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",South Surrey/White Rock,7,7,7,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Endocrine System, Nutrition & Metabolism",Surrey,16,77,77,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Eye,Abbotsford,19,134,85,49
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Eye,Chilliwack,7,14,14,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Eye,Mission,18,65,65,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Eye,Surrey,6,6,6,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Abbotsford,273,487,487,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Agassiz-Harrison,12,19,19,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Chilliwack,19,31,31,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Coquitlam,7,7,7,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Delta,6,6,6,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Hope,21,36,36,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Langley,18,23,23,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Maple Ridge,23,143,143,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Mission,84,166,166,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Outside FH,22,28,28,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,South Surrey/White Rock,17,75,75,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Female Reproductive System,Surrey,8,14,14,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Abbotsford,351,2411,2370,41
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Chilliwack,18,137,137,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Coquitlam,19,254,254,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Delta,6,6,6,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Hope,13,161,161,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Langley,32,140,139,1
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Maple Ridge,6,39,39,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Mission,35,206,205,1
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,New Westminster,7,21,21,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Outside FH,15,72,72,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,South Surrey/White Rock,7,14,14,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Hepatobiliary System & Pancreas,Surrey,17,74,74,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Abbotsford,688,4685,4294,391
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Agassiz-Harrison,11,95,95,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Burnaby,6,11,11,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Chilliwack,65,559,516,43
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Coquitlam,22,71,71,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Delta,12,62,62,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Hope,12,105,94,11
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Langley,56,521,481,40
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Maple Ridge,11,114,107,7
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Mission,92,648,602,46
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Outside FH,30,154,154,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",South Surrey/White Rock,14,69,69,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Kidney, Urinary Tract & Male Reproductive System",Surrey,5,42,42,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Abbotsford,440,3000,2660,340
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Agassiz-Harrison,7,102,102,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Chilliwack,43,361,333,28
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Coquitlam,11,21,21,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Delta,11,51,51,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Hope,5,43,43,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Langley,31,138,138,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Maple Ridge,9,44,44,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Mission,67,427,416,11
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Outside FH,19,55,55,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,South Surrey/White Rock,6,56,56,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Musculoskeletal System & Connective Tissue,Surrey,7,36,36,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Abbotsford,420,3817,3157,660
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Agassiz-Harrison,6,38,30,8
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Burnaby,6,6,6,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Chilliwack,56,332,290,42
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Coquitlam,5,5,5,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Hope,8,77,77,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Langley,54,299,278,21
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Maple Ridge,7,70,70,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Mission,56,241,239,2
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Outside FH,18,84,84,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,South Surrey/White Rock,16,33,33,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Nervous System,Surrey,19,366,236,130
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Abbotsford,868,7267,6808,459
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Agassiz-Harrison,20,41,41,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Burnaby,7,74,60,13
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Chilliwack,82,716,702,14
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Coquitlam,20,67,67,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Hope,23,203,203,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Langley,64,535,498,37
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Maple Ridge,14,116,116,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Mission,100,892,884,8
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Outside FH,16,159,159,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,South Surrey/White Rock,7,13,13,0
2011,Abbotsford Regional Hospital & Cancer Centre,Diseases & Disorders of the Respiratory System,Surrey,13,255,219,36
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Abbotsford,167,1345,1229,116
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Agassiz-Harrison,7,50,43,7
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Chilliwack,20,249,249,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Coquitlam,12,19,19,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Delta,6,32,32,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Hope,6,49,49,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Langley,27,146,146,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Maple Ridge,7,97,97,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Mission,30,96,96,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",New Westminster,6,36,36,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Outside FH,8,16,16,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",South Surrey/White Rock,5,133,133,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Diseases & Disorders of the Skin, Subcutaneous Tissue & Breast",Surrey,10,62,62,0
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Abbotsford,864,11403,8564,2839
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Agassiz-Harrison,25,181,181,0
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Burnaby,11,206,206,0
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Chilliwack,37,542,417,125
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Coquitlam,8,572,130,442
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Delta,23,204,204,0
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Hope,12,83,83,0
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Langley,54,622,535,87
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Maple Ridge,12,144,144,0
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Mission,200,2600,2201,399
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,New Westminster,27,226,226,0
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Outside FH,71,848,730,118
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,South Surrey/White Rock,16,49,49,0
2011,Abbotsford Regional Hospital & Cancer Centre,Mental Diseases & Disorders,Surrey,21,142,142,0
2011,Abbotsford Regional Hospital & Cancer Centre,Miscellaneous CMG & Ungroupable Data,Abbotsford,5,12,12,0
2011,Abbotsford Regional Hospital & Cancer Centre,Miscellaneous CMG & Ungroupable Data,Chilliwack,17,23,23,0
2011,Abbotsford Regional Hospital & Cancer Centre,Miscellaneous CMG & Ungroupable Data,Hope,5,5,5,0
2011,Abbotsford Regional Hospital & Cancer Centre,Miscellaneous CMG & Ungroupable Data,Langley,19,19,19,0
2011,Abbotsford Regional Hospital & Cancer Centre,Miscellaneous CMG & Ungroupable Data,Maple Ridge,6,6,6,0
2011,Abbotsford Regional Hospital & Cancer Centre,Miscellaneous CMG & Ungroupable Data,Mission,5,11,11,0
2011,Abbotsford Regional Hospital & Cancer Centre,Miscellaneous CMG & Ungroupable Data,New Westminster,6,6,6,0
2011,Abbotsford Regional Hospital & Cancer Centre,Miscellaneous CMG & Ungroupable Data,Outside FH,11,11,11,0
2011,Abbotsford Regional Hospital & Cancer Centre,Miscellaneous CMG & Ungroupable Data,Surrey,10,10,10,0
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,Abbotsford,195,1681,1553,128
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,Burnaby,7,94,94,0
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,Chilliwack,16,99,77,22
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,Hope,10,143,143,0
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,Langley,21,208,208,0
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,Maple Ridge,11,146,146,0
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,Mission,32,398,398,0
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,Outside FH,13,57,57,0
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,South Surrey/White Rock,6,6,6,0
2011,Abbotsford Regional Hospital & Cancer Centre,Multisystemic or Unspecified Site Infections,Surrey,23,102,102,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Abbotsford,1598,4250,4242,8
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Agassiz-Harrison,29,235,235,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Burnaby,17,34,34,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Chilliwack,254,918,916,2
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Coquitlam,13,70,70,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Delta,5,5,5,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Hope,17,29,29,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Langley,128,385,385,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Maple Ridge,21,145,145,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Mission,425,1095,1094,1
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Outside FH,23,61,61,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,South Surrey/White Rock,5,10,10,0
2011,Abbotsford Regional Hospital & Cancer Centre,Newborns & Neonates with Conditions Originating in Perinatal Period,Surrey,32,87,87,0
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Abbotsford,410,5933,4836,1097
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Agassiz-Harrison,10,100,100,0
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Chilliwack,24,324,287,37
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Delta,6,288,6,282
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Hope,5,71,71,0
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Langley,36,563,545,18
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Maple Ridge,12,100,100,0
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Mission,48,906,822,84
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,New Westminster,5,5,5,0
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Outside FH,15,97,92,5
2011,Abbotsford Regional Hospital & Cancer Centre,Other Reasons for Hospitalization,Surrey,24,271,72,199
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Abbotsford,1708,3595,3595,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Agassiz-Harrison,22,42,42,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Burnaby,16,42,42,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Chilliwack,241,477,477,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Coquitlam,19,90,90,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Delta,6,6,6,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Hope,17,33,33,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Langley,131,264,264,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Maple Ridge,20,39,39,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Mission,433,865,865,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Outside FH,26,53,53,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,South Surrey/White Rock,5,11,11,0
2011,Abbotsford Regional Hospital & Cancer Centre,Pregnancy & Childbirth,Surrey,39,102,102,0
2011,Abbotsford Regional Hospital & Cancer Centre,"Significant Trauma, Injury, Poisoning & Toxic Effects of Drugs",Abbotsford,703,5147,4309,838
2011,Abbotsford Regional Hospital & Cancer Centre,"Significant Trauma, Injury, Poisoning & Toxic Effects of Drugs",Agassiz-Harrison,5,117,103,14
2011,Abbotsford Regional Hospital & Cancer Centre,"Significant Trauma, Injury, Poisoning & Toxic Effects of Drugs",Burnaby,7,125,57,68
